,企業名,キャッチコピー,ステータス,初年度年収
198,株式会社マイナビワークス | 【マイナビグループ】「マイナビクリエイター」等を運営,マイナビクリエイターの【人材系総合職（CA／RA）】※未経験OK 正社員,正社員,300万円～500万円
199,フクシマ社会保険労務士法人 | …―― 信頼と実績で”中四国No.1”を目指しています！ ――…,【 労務士アシスタント 】完全週休2日制★転勤なし/年休120日 正社員,正社員,
200,TSK株式会社 | 【創業80年以上】オムロンやトヨタなど大手企業と取引あり！,"お客様の物流に関する""困った""を解決する【営業】★未経験歓迎 正社員",正社員,
201,ジブラルタ生命保険株式会社 | 社会貢献性の高いビジネス／Web面接可能,【代理店向け法人営業】★研修充実★土日祝休★賞与年4回 正社員,正社員,455万円～732万円
202,ワタナベ工業株式会社 | プラスチック製品加工のリーディングカンパニー｜残業月6h程度,あなたのアイデアが商品に！【企画営業】年休116日/残業ほぼなし 正社員,正社員,
203,株式会社エクシオモバイル | 【東証一部上場／エクシオグループ】研修体制充実★賞与2回,大手キャリアの通信を支える【技術スタッフ】★年間休日120日 正社員,正社員,350万円～650万円
204,株式会社Yメディカル | 月給32万円スタート/年間休日120日以上/土日休み/充実の福利厚生,ずっと必要な医療サービスの【営業スタッフ】★20代活躍中 正社員,正社員,380万円～450万円
205,株式会社Yメディカル | 年間休日120日以上/充実の福利厚生/男女活躍中/平均年齢25歳,ずっと必要な医療サービスの【事務系総合職】★20代活躍中 正社員,正社員,380万円～450万円
206,ポジウィル株式会社 | 「あるべき、こわそう。」をミッションに掲げるHRベンチャー,【キャリアパートナー】キャリアに悩む方のありたい姿を引き出す 正社員,正社員,400万円～600万円
207,株式会社プロフェッショナル・ネットワークス | 年間休日120日以上／土日祝休み,活躍の場が広い！【総務・事務】＊20代活躍中＊基本18時退社 正社員,正社員,
208,株式会社ラクス | 【東証一部上場】CMでおなじみ！自社クラウドサービスを提供,楽楽精算・楽楽明細などの【法人営業（フィールドセールス）】 正社員,正社員,380万円～710万円
209,株式会社マイナビワークス | 【マイナビグループ】『マイナビジョブ20’ｓ』等を運営,マイナビジョブ20’ｓの【CA（キャリアアドバイザー）】未経験OK 正社員,正社員,380万円～500万円
210,株式会社マス商事 | 創業40年以上／年間休日120日以上／9か国11拠点のグローバル企業,グローバル商社の【提案営業】★裁量大きく働いていけます 正社員,正社員,350万円～500万円
211,日本住宅株式会社 | 2020マイナビ人気企業ランキングランクイン！創業37年の成長企業,【新卒採用担当】週休2日｜福利厚生充実｜未経験OK 正社員,正社員,340万円～370万円
212,株式会社マイナビワークス | 【マイナビグループ】『マイナビジョブ20’ｓ』等を運営,マイナビジョブ20’ｓの【RA（リクルーティングアドバイザー）】 正社員,正社員,380万円～500万円
213,株式会社エッジマインド | グループ全体で大手企業を得意先に多くの取引。受注基盤は安定。,【総合職（工事手配／コンタクトセンタースタッフ】☆残業少なめ 正社員,正社員,264万円～384万円
214,株式会社スポーツフィールド | 東証マザーズ上場◆スポナビ◆WEB面談も実施中◆全国で積極採用,スポーツ人財に特化した【キャリアコンサルタント】★未経験歓迎 正社員,正社員,350万円～600万円
215,株式会社シャイン総研 | ◇経済産業省認定 ◇年間休日128日 ◇プレミアムフライデーあり,【提案営業】補助金を活用した中小企業の新事業立ち上げを支援！ 正社員,正社員,420万円～750万円
216,"QUICK VIETNAM Co.,Ltd.",アジア圏内でグローバルに活躍！専門商社の【営業職】 人材バンク登録,人材バンク登録,
217,北海道旅客鉄道株式会社 | JR北海道,＜未経験者歓迎＞【駅業務】★車掌・運転士候補募集 正社員,正社員,
218,株式会社グラム | ★がつがつした新規営業なし★年休120日以上★退職金制度有り,安定している医療業界の【営業】残業月10h以内◆直帰OK 正社員,正社員,300万円～500万円
219,PT. OS Selnajaya Indonesia,【塾講師】ジャカルタにある教育機関でのお仕事です！ 人材バンク登録,人材バンク登録,
220,HRNAVI JOINT STOCK COMPANY | ベトナムでの転職に特化した人材紹介会社です！,◆ベトナム勤務◆システムインテグレーション企業での【技術者】 人材バンク登録,人材バンク登録,
221,株式会社MFS | ＼14店舗で一斉募集！若手積極採用中!!／◎産育休の取得実績あり,未経験歓迎！【ライフパートナー】*月給25万円～/年間休日121日 正社員,正社員,300万円～450万円
222,"ICONIC CO., LTD. | ”海外発”アジア・グローバルキャリアの転職サポート会社です！",【Webディレクター】顧客の課題解決や新たな取組みをサポート！ 人材バンク登録,人材バンク登録,250万円～450万円
223,大王パッケージ株式会社 | 関西事業部◆東証プライム上場グループ◆年3回の長期休暇あり,大手グループで活躍！ルート中心の【営業】未経験OK/賞与3.8ヵ月 正社員,正社員,300万円～500万円
