,企業名,キャッチコピー,ステータス,初年度年収
73,サンコー工業株式会社 | 大手化学メーカーのパートナー企業★毎月ペースで有休取得OK！,シンプル作業で始めやすい！【梱包スタッフ】★日勤・基本土日休 正社員,正社員,
74,株式会社フレックス | 大阪ガスグループ/黒字経営継続中/残業少なめ/毎年昇給＆賞与有,大阪・奈良限定募集＆転勤なし!【ライフアドバイザー】土日祝休 正社員,正社員,300万円～500万円
75,株式会社キャリアプログラム | 2022年4月始動の新事業【大阪府緊急雇用対策に賛同】,教育業界の未経験者歓迎！リカレントスクールの【教室長】 正社員,正社員,
76,エスアールエス株式会社 | 建設機械レンタルで圧倒的シェアの「アクティオ」のグループ会社,【総合職（配送サービス／商品管理）】 ☆未経験歓迎！ 正社員,正社員,320万円～450万円
77,DSP株式会社 | 【20~30代活躍中】【服装/髪型/ネイル自由】【産休育休実績有】,【事務系総合職】◆原則定時退社◆完休2日 ※高卒以上/35歳以下 正社員,正社員,250万円～400万円
78,パーソルテンプスタッフ株式会社 | ★土日祝日休み★残業少なめ★転勤一切なし★賞与年2回,英語が活かせる♪大手優良企業の【貿易事務スタッフ】★研修充実 正社員,正社員,250万円～350万円
79,株式会社エヌエルプラス | ★大手企業と多数取引あり ★完全週休2日 ★残業月20時間程度,ICT技術を活用し企業の課題解決【BPOマネジャー】30代活躍中！ 正社員,正社員,420万円～700万円
80,株式会社チャーム | アスクル株式会社(東証一部上場)100％出資,【総合職（生き物の管理(お世話)／物流管理）】※正社員登用前提 契約社員,契約社員,305万円～367万円
81,株式会社アイエム | 時代から求められる「市場価値の高い人材」にスキルアップ可能！,AI案件に挑戦できる！【開発エンジニア】★開発経験あればOK 正社員,正社員,400万円～700万円
82,株式会社川本 | 【100％官公庁案件だから安定】★20～30代の若手スタッフ活躍中,公共案件がメインの【営業職】◎賞与平均6ヶ月／最高7.5ヶ月 正社員,正社員,350万円～450万円
83,株式会社トップ | 《トップHDグループ》33歳*月給例:月給29.1万円＋インセン＋賞与,3人に1人は年収1000万円！【 提案営業 】*全国募集*経験者募集 正社員,正社員,350万円～1000万円
