,企業名,キャッチコピー,ステータス,初年度年収
103,株式会社アークコア | <業績好調で本社池袋移転>★40～50代活躍中★面接1回&Web,【買取営業(訪問・事務業務・査定など)】★週休2日/残業少なめ 正社員,正社員,350万円～550万円
104,株式会社ライジングサンセキュリティーサービス | ★面接1回★有給取得率90％★入社祝い金3万円★,＼空港(関空・徳島)★未経験歓迎！／【セキュリティーSTAFF】 正社員,正社員,250万円～600万円
105,DSP株式会社 | 年休120日以上可/大阪府緊急雇用対策に賛同/産休育休取得実績有,映画/音楽など人気番組の【反響営業】完全週休2日★高卒以上 正社員,正社員,400万円～1000万円
106,中日本ハイウェイ・エンジニアリング名古屋株式会社 | ＜高速道路を未来につなぐ＞年間休日130日～/資格取得支援制度有,NEXCO中日本グループ【 建築系技術職 】★賞与実績6か月分 正社員,正社員,490万円～600万円
107,株式会社シンコーハイウェイサービス | 未経験OK★年収例:6年目690万円★警備業売上高-上位4％ 転勤なし,【総合職（計画立案/手配/管理）】賞与年3回◆昇給6回◆土日祝休 正社員,正社員,350万円～450万円
108,株式会社エネゲート | 残業ほぼなし★正社員登用実績90％【大阪府緊急雇用対策に賛同】,未経験OK【取替工事スタッフ】年休122日／年収700万円以上も可能 契約社員,契約社員,350万円～520万円
109,大東建託株式会社 | 【プライム市場】全国募集/中途入社は9割が未経験/原則転勤なし,【営業】平均年収850万<全国/未経験者歓迎/福利厚生充実> 正社員,正社員,400万円～1000万円
110,"株式会社エスター | #富裕層向けの""プール""や""庭づくり""等 #福利厚生充実 #転勤ナシ",お客様の想いに合う、お庭のデザインをご提案【プロデューサー】 正社員,正社員,420万円～600万円
111,アオイ工販株式会社 | 完休2日(土日祝)／年休120日 ／残業少なめ／創業50年超の安定感,既存顧客メイン！産業機械部品の【法人ルート営業】◆未経験OK！ 正社員,正社員,
112,"株式会社カクヤス | みんな知ってる""業界のリーディングカンパニー""",【お酒の配達ドライバー】未経験歓迎&普通免許でOK！15:30退社 正社員,正社員,
